conf1;conf2;conf3;conf4;conf5;conf6;conf7;conf8
0.9815;0.9573;0.9717;0.9612;0.9850;0.9809;0.9851;0.9818
0.9795;0.9598;0.9632;0.9665;0.9847;0.9633;0.9863;0.9787
0.9767;0.9684;0.9674;0.9826;0.9847;0.9784;0.9850;0.9852
0.9799;0.9614;0.9647;0.9848;0.9839;0.9839;0.9857;0.9812
0.9800;0.9518;0.9714;0.9849;0.9856;0.9837;0.9828;0.9828
0.9731;0.9637;0.9685;0.9851;0.9831;0.9821;0.9849;0.9773
0.9667;0.9477;0.9659;0.9835;0.9858;0.9833;0.9858;0.9855
0.9757;0.9636;0.9691;0.9842;0.9856;0.9763;0.9852;0.9799
0.9783;0.9647;0.9680;0.9832;0.9847;0.9600;0.9824;0.9826
0.9781;0.9623;0.9648;0.9848;0.9798;0.9824;0.9833;0.9848
0.9742;0.9675;0.9723;0.9769;0.9857;0.9826;0.9830;0.9816
0.9833;0.9595;0.9726;0.9847;0.9828;0.9850;0.9812;0.9828
0.9800;0.9614;0.9629;0.9839;0.9873;0.9842;0.9829;0.9783
0.9778;0.9586;0.9703;0.9840;0.9745;0.9808;0.9827;0.9775
0.9792;0.9620;0.9596;0.9770;0.9771;0.9828;0.9842;0.9838
0.9803;0.9568;0.9681;0.9855;0.9817;0.9781;0.9825;0.9824
0.9797;0.9617;0.9683;0.9814;0.9828;0.9827;0.9860;0.9814
0.9673;0.9648;0.9623;0.9859;0.9832;0.9794;0.9834;0.9791
0.9780;0.9570;0.9668;0.9800;0.9832;0.9843;0.9851;0.9780
0.9817;0.9135;0.9423;0.9839;0.9794;0.9859;0.9818;0.9841
0.9788;0.9614;0.9726;0.9839;0.9845;0.9826;0.9835;0.9795
0.9635;0.9535;0.9651;0.9823;0.9853;0.9827;0.9840;0.9789
0.9791;0.9660;0.9693;0.9854;0.9821;0.9831;0.9843;0.9756
0.9699;0.9559;0.9599;0.9846;0.9847;0.9782;0.9851;0.9815
0.9798;0.9596;0.9691;0.9849;0.9802;0.9822;0.9817;0.9804
0.9779;0.9593;0.9717;0.9855;0.9806;0.9831;0.9834;0.9835
0.9763;0.9665;0.9629;0.9853;0.9844;0.9817;0.9859;0.9630
0.9745;0.9617;0.9688;0.9828;0.9794;0.9807;0.9842;0.9825
0.9697;0.9629;0.9704;0.9815;0.9802;0.9849;0.9842;0.9827
0.9779;0.9634;0.9696;0.9855;0.9839;0.9833;0.9814;0.9814
0.9715;0.9639;0.9657;0.9843;0.9818;0.9822;0.9848;0.9825
0.9682;0.9551;0.9561;0.9812;0.9844;0.9834;0.9859;0.9836
0.9735;0.9539;0.9634;0.9857;0.9800;0.9843;0.9838;0.9799
0.9805;0.9583;0.9689;0.9831;0.9700;0.9800;0.9865;0.9836
0.9799;0.9601;0.9676;0.9866;0.9810;0.9819;0.9852;0.9814
0.9805;0.9569;0.9718;0.9863;0.9771;0.9766;0.9872;0.9832
0.9575;0.9697;0.9669;0.9811;0.9812;0.9839;0.9860;0.9838
0.9814;0.9563;0.9652;0.9847;0.9777;0.9705;0.9846;0.9840
0.9747;0.9573;0.9621;0.9839;0.9862;0.9811;0.9793;0.9823
0.9779;0.9710;0.9666;0.9867;0.9816;0.9816;0.9842;0.9817
0.9802;0.9723;0.9667;0.9838;0.9717;0.9803;0.9827;0.9796
0.9802;0.9724;0.9722;0.9863;0.9833;0.9822;0.9862;0.9839
0.9787;0.9692;0.9702;0.9847;0.9824;0.9806;0.9846;0.9813
0.9792;0.9750;0.9522;0.9852;0.9843;0.9785;0.9857;0.9841
0.9751;0.9702;0.9669;0.9843;0.9713;0.9785;0.9833;0.9823
