conf1;conf2;conf3;conf4;conf5;conf6;conf7;conf8
0.0609;0.1354;0.0829;0.1232;0.0460;0.0574;0.0454;0.0547
0.0657;0.1256;0.1107;0.1053;0.0452;0.1082;0.0430;0.0654
0.0709;0.1026;0.1044;0.0535;0.0466;0.0654;0.0511;0.0479
0.0620;0.1215;0.1127;0.0502;0.0509;0.0532;0.0466;0.0573
0.0618;0.1510;0.0932;0.0449;0.0458;0.0487;0.0533;0.0554
0.0920;0.1125;0.1007;0.0446;0.0532;0.0541;0.0476;0.0667
0.1054;0.1710;0.1080;0.0479;0.0421;0.0494;0.0443;0.0484
0.0763;0.1105;0.0948;0.0500;0.0453;0.0703;0.0476;0.0618
0.0658;0.1109;0.1072;0.0535;0.0472;0.1172;0.0522;0.0495
0.0686;0.1129;0.1079;0.0471;0.0619;0.0551;0.0524;0.0455
0.0877;0.1007;0.0841;0.0686;0.0447;0.0551;0.0536;0.0565
0.0577;0.1288;0.0871;0.0474;0.0531;0.0474;0.0604;0.0582
0.0622;0.1168;0.1191;0.0476;0.0428;0.0506;0.0540;0.0688
0.0695;0.1295;0.0973;0.0472;0.0816;0.0604;0.0511;0.0653
0.0629;0.1243;0.1195;0.0716;0.0674;0.0554;0.0470;0.0548
0.0620;0.1297;0.1047;0.0476;0.0554;0.0663;0.0549;0.0542
0.0674;0.1220;0.1053;0.0565;0.0519;0.0556;0.0454;0.0573
0.1011;0.1100;0.1222;0.0450;0.0525;0.0593;0.0480;0.0636
0.0690;0.1402;0.1053;0.0594;0.0512;0.0505;0.0461;0.0691
0.0636;0.2713;0.1797;0.0471;0.0653;0.0469;0.0570;0.0510
0.0653;0.1197;0.0895;0.0506;0.0486;0.0541;0.0521;0.0707
0.1157;0.1478;0.1084;0.0535;0.0471;0.0515;0.0497;0.0642
0.0635;0.1084;0.0970;0.0429;0.0577;0.0526;0.0517;0.0779
0.0955;0.1425;0.1251;0.0505;0.0500;0.0659;0.0461;0.0608
0.0593;0.1230;0.1018;0.0483;0.0606;0.0562;0.0597;0.0625
0.0724;0.1230;0.0953;0.0466;0.0626;0.0514;0.0494;0.0542
0.0709;0.1029;0.1135;0.0449;0.0488;0.0571;0.0464;0.1110
0.0811;0.1157;0.0982;0.0536;0.0610;0.0577;0.0491;0.0551
0.0967;0.1131;0.0936;0.0593;0.0590;0.0496;0.0482;0.0555
0.0668;0.1125;0.0976;0.0491;0.0528;0.0496;0.0563;0.0554
0.0897;0.1114;0.1080;0.0465;0.0543;0.0530;0.0488;0.0557
0.0980;0.1414;0.1350;0.0589;0.0481;0.0507;0.0452;0.0545
0.0853;0.1380;0.1150;0.0448;0.0563;0.0482;0.0492;0.0632
0.0664;0.1356;0.1037;0.0497;0.0839;0.0570;0.0419;0.0503
0.0618;0.1289;0.1055;0.0409;0.0576;0.0552;0.0470;0.0567
0.0621;0.1317;0.0925;0.0461;0.0693;0.0710;0.0421;0.0544
0.1287;0.0928;0.1047;0.0590;0.0585;0.0503;0.0426;0.0506
0.0581;0.1377;0.1078;0.0455;0.0685;0.0838;0.0458;0.0490
0.0772;0.1394;0.1184;0.0478;0.0424;0.0570;0.0647;0.0554
0.0704;0.0877;0.1072;0.0420;0.0595;0.0582;0.0474;0.0582
0.0627;0.0838;0.1009;0.0529;0.0856;0.0571;0.0551;0.0639
0.0599;0.0855;0.0920;0.0433;0.0538;0.0534;0.0459;0.0502
0.0703;0.0969;0.1025;0.0471;0.0523;0.0570;0.0476;0.0602
0.0617;0.0765;0.1458;0.0454;0.0497;0.0613;0.0441;0.0526
0.0786;0.0969;0.1062;0.0503;0.0918;0.0677;0.0505;0.0569
